entity_type,entity_id,cancel_type,reason_code,reason_text,timeout_flag
fulfillment_order,FO2001,BUYER,,"Because the size received was incorrect, the buyer had no choice but to cancel and reorder the proper one.",
fulfillment_order,FO2002,BUYER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2005,SELLER,,"Because the size received was incorrect, the buyer had no choice but to cancel and reorder the proper one.",
fulfillment_order,FO2006,BUYER,,The buyer preferred to purchase the same product locally instead of waiting for this shipment to arrive.,
fulfillment_order,FO2021,BUYER,,"Due to a last-minute change of plans, the buyer decided that the item was no longer necessary and canceled the order.",
fulfillment_order,FO2035,BUYER,,"After comparing customer reviews, the buyer lost confidence in the product and decided to cancel the order.",
fulfillment_order,FO2038,SELLER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2041,SELLER,,The buyer preferred to purchase the same product locally instead of waiting for this shipment to arrive.,
fulfillment_order,FO2043,BUYER,,The buyer received the wrong item and decided to cancel the order immediately to avoid further inconvenience.,
fulfillment_order,FO2046,BUYER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
fulfillment_order,FO2047,BUYER,,"After learning that the product had a known defect, the buyer decided not to proceed and canceled the purchase.",
fulfillment_order,FO2055,SELLER,,"Due to a last-minute change of plans, the buyer decided that the item was no longer necessary and canceled the order.",
fulfillment_order,FO2062,BUYER,,"After learning that the product had a known defect, the buyer decided not to proceed and canceled the purchase.",
fulfillment_order,FO2065,BUYER,,"The color of the received product was different from the advertised one, prompting the buyer to cancel the purchase.",
fulfillment_order,FO2074,BUYER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
fulfillment_order,FO2081,SELLER,,"After comparing customer reviews, the buyer lost confidence in the product and decided to cancel the order.",
fulfillment_order,FO2082,BUYER,,"The package tracking showed no updates for several days, causing the buyer to cancel due to uncertainty of delivery.",
fulfillment_order,FO2083,SELLER,,The buyer received the wrong item and decided to cancel the order immediately to avoid further inconvenience.,
fulfillment_order,FO2095,SELLER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
fulfillment_order,FO2098,SELLER,,"After learning that the product had a known defect, the buyer decided not to proceed and canceled the purchase.",
fulfillment_order,FO2104,SELLER,,"After learning that the product had a known defect, the buyer decided not to proceed and canceled the purchase.",
fulfillment_order,FO2117,SELLER,,"The color of the received product was different from the advertised one, prompting the buyer to cancel the purchase.",
fulfillment_order,FO2128,SELLER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
fulfillment_order,FO2130,BUYER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2132,BUYER,,The buyer was dissatisfied with the overall product quality and decided to cancel the order rather than exchange it.,
fulfillment_order,FO2141,SELLER,,"The package tracking showed no updates for several days, causing the buyer to cancel due to uncertainty of delivery.",
fulfillment_order,FO2148,SELLER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2153,BUYER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
fulfillment_order,FO2157,BUYER,,The buyer was dissatisfied with the overall product quality and decided to cancel the order rather than exchange it.,
fulfillment_order,FO2161,SELLER,,The buyer was dissatisfied with the overall product quality and decided to cancel the order rather than exchange it.,
fulfillment_order,FO2170,SELLER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
fulfillment_order,FO2177,SELLER,,The buyer was dissatisfied with the overall product quality and decided to cancel the order rather than exchange it.,
fulfillment_order,FO2180,SELLER,,The buyer received two identical orders by mistake and canceled one of them to avoid being overcharged.,
fulfillment_order,FO2181,BUYER,,The buyer received two identical orders by mistake and canceled one of them to avoid being overcharged.,
fulfillment_order,FO2183,BUYER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2188,SELLER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2218,BUYER,,"After learning that the product had a known defect, the buyer decided not to proceed and canceled the purchase.",
fulfillment_order,FO2226,BUYER,,"The product’s color and texture differed from what was shown online, leading the buyer to cancel the purchase.",
fulfillment_order,FO2228,SELLER,,"After learning that the product had a known defect, the buyer decided not to proceed and canceled the purchase.",
fulfillment_order,FO2234,BUYER,,"Unexpected additional shipping charges appeared during checkout, so the buyer canceled before final payment.",
fulfillment_order,FO2235,BUYER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2242,BUYER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
fulfillment_order,FO2246,BUYER,,"The buyer attempted to change the delivery address but was unable to, resulting in a cancellation of the order.",
fulfillment_order,FO2250,SELLER,,"The product’s color and texture differed from what was shown online, leading the buyer to cancel the purchase.",
fulfillment_order,FO2273,BUYER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2277,SELLER,,"Unexpected additional shipping charges appeared during checkout, so the buyer canceled before final payment.",
fulfillment_order,FO2283,SELLER,,"After realizing that the product did not match the description, the buyer requested a cancellation and refund.",
fulfillment_order,FO2289,SELLER,,"The product did not meet the advertised specifications, so the buyer requested a full cancellation and refund.",
